unifiedScreenClass,date,activeUsers,newUsers,sessions,averageSessionDuration,bounceRate,engagedSessions,engagementRate,eventCount,eventCountPerUser
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221206,23,20,32,83.64398565625001,0.4375,18,0.5625,166,7.2173913043478262
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221021,22,17,35,114.13042897142857,0.51428571428571423,17,0.48571428571428571,186,8.454545454545455
Add to Cart,20221111,21,21,24,15.361091333333334,0.83333333333333337,4,0.16666666666666666,101,4.8095238095238093
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221127,21,21,24,104.23426633333332,0.29166666666666669,17,0.70833333333333337,166,7.9047619047619051
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221207,21,19,26,28.526974653846157,0.5,13,0.5,150,7.1428571428571432
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221109,20,14,26,92.2664841923077,0.5,13,0.5,130,6.5
Add to Cart,20221114,18,16,19,177.5731792631579,0.73684210526315785,5,0.26315789473684209,84,4.666666666666667
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221125,17,16,19,31.966181315789473,0.26315789473684209,14,0.73684210526315785,145,8.5294117647058822
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221122,16,12,21,32.3459990952381,0.61904761904761907,8,0.38095238095238093,95,5.9375
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221205,16,13,19,21.757793263157897,0.631578947368421,7,0.36842105263157893,81,5.0625
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221118,15,13,23,52.808781521739135,0.43478260869565216,13,0.56521739130434778,144,9.6
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221201,15,15,19,18.752489684210527,0.47368421052631576,10,0.52631578947368418,117,7.8
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221121,14,14,17,48.991828529411762,0.35294117647058826,11,0.6470588235294118,94,6.7142857142857144
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221220,14,14,19,17.729735315789473,0.68421052631578949,6,0.31578947368421051,93,6.6428571428571432
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221103,13,13,18,116.52196872222223,0.77777777777777779,4,0.22222222222222221,60,4.615384615384615
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221108,13,7,28,406.03520964285718,0.5714285714285714,12,0.42857142857142855,168,12.923076923076923
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221126,13,13,14,91.729022857142851,0.35714285714285715,9,0.6428571428571429,130,10
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221128,12,10,16,270.306250625,0.4375,9,0.5625,78,6.5
Add to Cart,20221116,11,10,13,48.614953615384607,0.84615384615384615,2,0.15384615384615385,69,6.2727272727272725
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221115,11,5,30,171.82136556666666,0.7,9,0.3,141,12.818181818181818
Add to Cart,20221206,10,9,10,15.1942408,0.7,3,0.3,45,4.5
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221129,10,9,11,56.748601727272721,0.36363636363636365,7,0.63636363636363635,62,6.2
Add to Cart,20221113,9,9,11,5.7837882727272723,0.90909090909090906,1,0.090909090909090912,40,4.4444444444444446
Add to Cart,20221204,9,8,10,43.525904600000004,0.7,3,0.3,48,5.333333333333333
Add to Cart,20221112,8,7,12,381.89953383333341,0.75,3,0.25,69,8.625
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221022,8,6,11,60.227390272727277,0.54545454545454541,5,0.45454545454545453,44,5.5
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221101,8,6,10,189.54290220000001,0.7,3,0.3,40,5
